CCLE	CTDD	CGP	Colours
AZD6244	selumetinib	AZD6244	darkred
PD.0325901	NA	PD.0325901	firebrick1
PLX4720	PLX.4720	PLX4720	pink1
RAF265	RAF265	NA	darkorange3
Erlotinib	erlotinib	Erlotinib	darkorange
Lapatinib	lapatinib	Lapatinib	tan1
Sorafenib	sorafenib	Sorafenib	goldenrod3
X17.AAG	tanespimycin	X17.AAG	gold
PD.0332991	NA	PD.0332991	khaki
Nilotinib	nilotinib	Nilotinib	darkgreen
PHA.665752	NA	PHA.665752	forestgreen
Nutlin.3	nutlin.3	Nutlin.3a	greenyellow
AZD0530	saracatinib	AZD.0530	darkblue
PF2341066	crizotinib	PF.02341066	dodgerblue
L.685458	L.685458	NA	skyblue
ZD.6474	vandetanib	NA	darkslateblue
Topotecan	topotecan	NA	slateblue3
Paclitaxel	paclitaxel	Paclitaxel	mediumpurple1
TAE684	NVP.TAE684	NVP.TAE684	darkorchid4
Panobinostat	NA	NA	orchid3
TKI258	NA	NA	plum
Irinotecan	NA	NA	violetred
AEW541	NA	NA	grey31
